student_name,subject,score,timeSpent
Hannah Williams,Statistics,57.39,50
Ethan Martinez,IT,17.7,16
Bob Wilson,IT,0.45,67
Julia Martinez,Chemistry,77.44,27
Julia Garcia,Biology,12.46,87
Julia Brown,History,13.86,102
Hannah Jones,Biology,99.0,111
Julia Johnson,Chemistry,23.31,31
Ian Smith,Statistics,23.76,39
Julia Johnson,History,50.65,37
Charlie Martinez,Math,31.16,109
Diana Smith,Math,37.32,69
Diana Williams,History,67.01,75
Alice Garcia,History,27.81,115
Hannah Williams,Chemistry,50.37,79
Ethan Johnson,Biology,15.41,93
Ian Martinez,Chemistry,22.21,37
Ian Wilson,Chemistry,96.73,115
George Wilson,IT,76.38,24
Hannah Davis,Biology,45.97,108
Bob Martinez,Statistics,98.46,63
George Davis,Chemistry,19.38,29
Julia Brown,Biology,9.56,82
Bob Wilson,Biology,25.06,55
Charlie Jones,Chemistry,85.76,69
Diana Miller,Statistics,34.6,83
Charlie Brown,IT,93.24,86
Julia Johnson,Chemistry,39.94,75
Alice Wilson,Math,52.02,42
Ethan Johnson,Math,59.7,103
Charlie Williams,History,59.33,111
Julia Garcia,Biology,68.7,52
Diana Garcia,Math,88.53,26
Ian Jones,History,84.63,74
Fiona Davis,Statistics,26.92,47
Alice Martinez,Chemistry,36.82,119
Ian Martinez,Chemistry,80.4,14
Ethan Jones,Statistics,99.32,114
Diana Johnson,Math,43.04,34
Alice Miller,Chemistry,42.35,10
Julia Davis,IT,72.72,41
Hannah Davis,IT,54.25,99
Ethan Martinez,Biology,80.3,89
Charlie Brown,Statistics,82.13,33
Ethan Miller,IT,88.27,59
Diana Johnson,History,75.47,49
Ethan Jones,Chemistry,53.67,108
Ian Miller,Math,88.95,26
Ian Garcia,IT,17.65,72
Charlie Davis,Chemistry,36.57,15
Alice Williams,Statistics,30.56,50
Ian Williams,IT,34.58,82
Hannah Williams,Chemistry,70.66,59
Julia Garcia,Statistics,82.35,17
Fiona Brown,IT,2.71,44
Bob Williams,IT,38.03,101
Hannah Smith,History,59.0,47
Diana Miller,Chemistry,45.28,18
Charlie Williams,Statistics,8.84,35
Fiona Jones,Chemistry,80.96,15
Julia Williams,Chemistry,99.21,108
Bob Williams,History,1.87,49
Ethan Martinez,Biology,48.15,58
Hannah Wilson,Chemistry,59.12,47
Charlie Jones,Statistics,87.85,80
Diana Wilson,Statistics,50.38,22
Julia Wilson,Biology,21.45,90
Bob Garcia,Chemistry,31.94,14
Bob Davis,Biology,61.79,100
Charlie Davis,Chemistry,56.17,45
George Martinez,Math,86.86,100
Diana Garcia,IT,20.82,31
Diana Jones,History,76.14,73
Fiona Wilson,Chemistry,21.87,88
Fiona Martinez,Chemistry,35.4,95
Ian Garcia,Chemistry,11.69,73
Fiona Wilson,IT,95.7,38
Fiona Jones,Biology,61.87,27
Fiona Miller,Chemistry,39.11,107
Ethan Davis,Math,62.61,46
Julia Jones,Chemistry,59.32,118
Hannah Smith,Statistics,42.89,68
Bob Johnson,Biology,18.32,108
George Smith,History,60.74,51
Diana Brown,Chemistry,71.15,23
George Miller,Statistics,44.96,72
Ian Wilson,Biology,98.34,115
George Jones,Chemistry,42.07,52
Hannah Jones,Math,62.13,70
George Martinez,Math,24.55,111
Julia Brown,History,72.71,98
George Brown,Statistics,82.27,82
George Johnson,Chemistry,99.32,94
Ian Martinez,IT,10.14,70
Diana Martinez,Chemistry,88.27,25
George Jones,IT,70.69,71
Ian Miller,IT,79.36,63
Charlie Williams,History,68.06,53
Diana Garcia,Chemistry,97.7,107
Alice Williams,IT,71.19,20
Alice Miller,Chemistry,57.61,51
Charlie Miller,Math,86.2,94
George Davis,IT,23.92,31
Hannah Garcia,Math,99.48,112
Ethan Jones,IT,57.46,66
Julia Wilson,Statistics,37.06,87
Ian Brown,IT,8.92,66
Ian Smith,Statistics,0.25,19
Hannah Jones,Biology,81.36,85
Julia Williams,IT,62.25,104
Ethan Williams,Biology,35.87,62
Hannah Wilson,History,13.77,45
Diana Brown,Biology,45.84,88
George Smith,Biology,93.07,22
Fiona Davis,History,51.78,104
Fiona Miller,Chemistry,45.02,116
Bob Johnson,Math,24.95,70
George Jones,Statistics,95.16,107
Bob Brown,Chemistry,80.44,75
Ethan Williams,IT,23.95,64
Ian Smith,Biology,58.93,21
Fiona Wilson,Chemistry,49.43,66
Ian Smith,Chemistry,18.72,30
Charlie Brown,IT,32.65,24
Julia Brown,Math,65.74,93
Alice Martinez,IT,9.83,55
Ian Garcia,Statistics,27.76,60
Bob Smith,History,32.38,16
Diana Brown,Biology,72.03,23
George Brown,Math,81.23,57
Hannah Garcia,Chemistry,35.62,99
Diana Williams,Statistics,22.41,118
Alice Johnson,History,11.91,51
Ethan Wilson,IT,4.26,21
Charlie Davis,Biology,24.1,14
Julia Johnson,IT,43.38,72
Fiona Smith,Biology,58.62,74
Hannah Williams,History,54.41,77
Ethan Williams,Biology,23.22,52
Alice Martinez,Statistics,44.12,39
Ian Wilson,Statistics,63.99,99
Julia Garcia,Chemistry,40.4,38
Alice Williams,Biology,20.92,49
Fiona Smith,History,41.44,76
Fiona Johnson,Statistics,91.44,47
George Davis,Math,50.04,87
Ethan Wilson,Chemistry,51.76,82
Fiona Wilson,Statistics,23.73,31
Hannah Williams,Chemistry,43.46,95
Julia Garcia,Math,93.97,57
Ian Garcia,Math,90.4,11
Julia Williams,History,66.38,84
Ethan Williams,History,50.81,30
Ian Johnson,IT,4.02,28
George Wilson,Statistics,24.02,14
Charlie Brown,Statistics,35.3,26
Julia Johnson,Statistics,74.63,21
Bob Garcia,IT,2.59,90
Julia Martinez,Math,34.69,20
Charlie Johnson,IT,67.31,87
Ian Wilson,Chemistry,77.75,80
Charlie Williams,Chemistry,98.67,49
Julia Garcia,Biology,94.27,109
Fiona Smith,Math,28.12,46
George Johnson,History,91.49,18
George Miller,History,0.4,18
Ian Garcia,Biology,89.09,115
Bob Miller,Math,86.2,26
Ian Johnson,Chemistry,31.72,84
George Martinez,IT,26.75,50
Bob Wilson,Chemistry,75.1,34
George Garcia,IT,84.68,60
George Smith,Biology,51.95,93
Fiona Jones,History,51.07,84
Fiona Miller,Statistics,57.41,32
George Williams,Statistics,57.37,57
Diana Davis,History,54.06,109
Fiona Garcia,History,85.27,92
Alice Brown,IT,83.06,13
Ian Miller,Statistics,81.49,56
Fiona Miller,History,14.18,54
Hannah Johnson,History,42.94,88
Bob Wilson,Chemistry,48.51,92
Diana Wilson,Statistics,3.91,43
Ethan Garcia,History,70.15,119
Charlie Garcia,IT,7.47,79
Fiona Johnson,Biology,44.95,86
George Miller,IT,67.06,58
Alice Garcia,IT,44.15,61
Julia Martinez,Chemistry,90.49,54
George Garcia,History,0.23,24
Diana Wilson,History,54.3,91
Alice Wilson,Chemistry,5.94,33
Ian Smith,Math,86.64,92
Julia Johnson,Biology,11.77,39
George Garcia,Math,77.33,113
Hannah Brown,History,93.18,54
Charlie Wilson,Math,60.51,53
Charlie Jones,Math,9.55,54
Hannah Brown,Statistics,66.15,92
George Miller,Biology,66.63,25
Bob Williams,Biology,14.33,55
Bob Wilson,Chemistry,44.33,47
Charlie Jones,Math,87.33,11
Julia Smith,History,13.73,62
Julia Johnson,Statistics,40.91,111
Ethan Williams,Statistics,50.12,109
Fiona Johnson,Math,39.03,56
Fiona Jones,Biology,75.4,72
Alice Davis,Math,19.21,106
Charlie Martinez,Chemistry,90.07,33
Hannah Martinez,Math,79.47,82
Bob Brown,Statistics,87.75,78
Fiona Miller,History,18.22,117
Charlie Garcia,Biology,28.98,40
Fiona Martinez,Biology,94.12,81
Bob Garcia,Chemistry,24.89,87
Fiona Williams,History,25.81,93
Alice Miller,Math,31.23,29
Ian Garcia,History,30.99,91
Fiona Jones,IT,45.17,32
Ethan Garcia,Chemistry,0.89,105
Hannah Davis,Statistics,38.62,102
Charlie Jones,History,48.09,96
Charlie Wilson,Chemistry,74.07,106
Charlie Williams,Math,87.56,77
Charlie Miller,History,74.32,89
Ethan Miller,History,7.04,115
Diana Johnson,Statistics,5.96,13
Julia Miller,History,42.78,76
Diana Miller,IT,75.54,67
Ian Davis,Math,90.25,15
Hannah Wilson,Math,61.97,71
George Brown,History,96.6,33
Hannah Wilson,Chemistry,16.64,58
Alice Martinez,IT,46.75,19
Julia Johnson,IT,92.51,115
Alice Jones,History,41.97,86
Alice Miller,Statistics,5.52,78
Ethan Miller,Statistics,43.05,38
Ian Wilson,Biology,12.44,26
Ian Miller,Math,95.09,60
Alice Miller,History,53.65,37
Diana Smith,Chemistry,7.13,95
Diana Garcia,History,74.48,24
Ian Williams,Chemistry,14.5,38
Ian Williams,History,35.6,79
Ian Johnson,Math,5.11,24
Ethan Smith,Biology,81.66,89
Hannah Martinez,Biology,29.22,49
Bob Jones,History,41.76,47
Bob Martinez,Biology,96.33,84
Ethan Garcia,IT,72.47,47
Julia Jones,History,87.86,103
Julia Martinez,Chemistry,0.77,69
Fiona Brown,History,82.18,19
Diana Garcia,Math,83.79,31
Charlie Jones,IT,19.43,99
Diana Jones,Statistics,63.05,75
Bob Smith,Chemistry,45.6,44
Hannah Williams,History,38.07,103
Hannah Garcia,Statistics,91.12,83
Diana Davis,Chemistry,21.65,42
Alice Wilson,IT,94.79,80
Charlie Miller,Biology,39.84,99
Ethan Wilson,Math,82.01,111
Ian Johnson,Biology,37.18,76
Fiona Martinez,Chemistry,79.02,56
Bob Wilson,Statistics,32.44,70
Alice Garcia,Chemistry,38.29,60
Julia Smith,Statistics,66.77,96
Ethan Williams,Chemistry,40.06,57
Hannah Davis,Statistics,47.88,71
Diana Garcia,IT,52.51,107
Bob Martinez,History,3.92,85
Ian Garcia,History,92.44,75
Diana Williams,Biology,56.64,81
Hannah Wilson,Statistics,41.44,30
Ian Johnson,IT,9.44,80
Ethan Martinez,History,97.6,82
Julia Smith,Biology,49.2,82
Ian Smith,History,69.11,98
Alice Johnson,IT,64.16,25
George Miller,Math,78.01,23
Julia Jones,Math,1.94,16
George Brown,Biology,38.41,107
George Johnson,Chemistry,0.97,70
Ethan Martinez,Statistics,98.71,106
Ian Davis,Math,94.09,92
George Jones,Math,52.61,50
Ethan Miller,Math,27.12,89
Fiona Miller,Biology,43.81,92
Bob Brown,IT,59.47,13
Ethan Miller,Biology,67.71,60
Diana Davis,Statistics,26.55,74
Julia Martinez,History,7.82,87
Hannah Miller,Biology,29.31,91
Diana Wilson,History,64.29,37
George Martinez,History,19.94,70
Ian Johnson,Math,39.78,77
Hannah Smith,Math,89.76,61
Hannah Jones,Statistics,92.92,103
George Garcia,Biology,74.25,58
George Johnson,Math,93.36,110
George Miller,Chemistry,61.37,96
Bob Garcia,IT,75.98,97
Ian Williams,IT,82.17,28
Ethan Martinez,Statistics,95.05,41
Fiona Davis,Math,10.9,19
Julia Johnson,Math,21.85,66
Ethan Smith,Chemistry,11.61,58
Diana Wilson,Statistics,14.37,62
Ian Garcia,Math,68.45,107
Julia Garcia,History,19.65,25
Alice Smith,Math,93.45,119
Ethan Wilson,Statistics,80.55,24
George Smith,IT,94.3,110
Ethan Johnson,IT,60.79,48
Hannah Martinez,Biology,59.8,67
Ethan Smith,IT,38.77,18
Charlie Garcia,Statistics,85.4,105
Ian Wilson,IT,97.61,45
Ian Davis,IT,81.94,17
Julia Wilson,Chemistry,22.72,97
Hannah Smith,Biology,25.87,46
Ethan Miller,History,2.78,50
Julia Davis,History,3.12,107
Charlie Martinez,Math,95.84,21
Ian Garcia,History,79.41,58
Diana Jones,Biology,61.54,106
Charlie Smith,Biology,40.02,80
George Brown,History,38.42,47
Julia Davis,Math,76.79,29
Fiona Martinez,IT,23.04,18
George Johnson,IT,14.17,10
Hannah Smith,IT,44.36,35
Hannah Williams,IT,88.77,49
Hannah Johnson,IT,41.91,46
Alice Garcia,History,74.64,119
Ian Johnson,Biology,48.22,36
Ethan Wilson,IT,40.07,35
George Johnson,IT,54.68,61
Bob Brown,Biology,27.29,101
Bob Miller,Biology,47.19,30
Alice Brown,Biology,89.47,42
Charlie Garcia,Math,48.68,83
Hannah Miller,IT,41.37,16
Ethan Johnson,Chemistry,83.31,77
Ethan Johnson,IT,95.77,83
Charlie Smith,IT,19.0,98
Hannah Johnson,History,68.69,111
Fiona Miller,Statistics,37.83,20
Bob Brown,Statistics,3.64,40
Diana Williams,History,4.39,11
Diana Brown,IT,23.92,39
Fiona Johnson,Chemistry,44.18,114
George Williams,Biology,12.06,114
Fiona Brown,Math,51.46,106
Fiona Smith,Math,44.03,119
Ian Garcia,Chemistry,12.44,66
George Davis,Biology,99.0,65
Ian Smith,IT,69.13,96
Alice Brown,Math,69.0,89
Charlie Wilson,Biology,73.13,82
Julia Smith,Chemistry,61.37,114
Fiona Davis,Chemistry,13.91,78
Bob Williams,IT,99.81,36
Ian Garcia,Chemistry,74.15,19
Diana Martinez,Statistics,72.94,89
Diana Wilson,Biology,54.62,31
Charlie Smith,IT,13.94,31
Bob Brown,Chemistry,99.55,102
Hannah Smith,Math,72.53,24
Alice Jones,Math,28.57,108
Fiona Davis,IT,88.92,20
Charlie Martinez,History,86.35,83
Alice Miller,History,27.44,33
George Martinez,IT,7.64,70
Charlie Davis,Chemistry,70.52,36
Bob Davis,Statistics,77.81,22
Ethan Davis,IT,4.6,37
Ian Garcia,Biology,49.51,30
Bob Jones,Math,39.0,35
Ethan Williams,Biology,18.83,109
Ethan Jones,IT,82.83,106
Hannah Wilson,IT,75.38,71
Ian Miller,History,39.74,111
Bob Brown,Chemistry,15.57,111
Ethan Williams,Math,99.31,88
George Williams,Math,34.6,94
Alice Garcia,Biology,71.27,110
Julia Martinez,Statistics,21.83,21
Diana Brown,Statistics,6.4,119
Fiona Williams,History,89.06,109
Charlie Garcia,Math,96.39,27
George Miller,History,67.59,47
Ethan Martinez,Biology,84.44,68
George Jones,IT,59.88,85
George Martinez,Statistics,12.39,30
Ethan Brown,Biology,37.33,10
Fiona Miller,Statistics,80.24,84
Charlie Jones,History,83.13,15
Diana Williams,Chemistry,93.22,104
Diana Jones,Chemistry,93.91,92
Charlie Garcia,Math,91.04,107
Hannah Garcia,Statistics,15.36,76
Alice Wilson,IT,62.56,73
Julia Miller,History,38.6,20
George Johnson,Biology,91.19,105
Bob Garcia,IT,47.47,12
Bob Martinez,Math,19.82,44
Diana Smith,Biology,2.61,119
Fiona Garcia,Chemistry,1.79,103
Diana Johnson,Chemistry,21.22,78
Fiona Williams,IT,94.13,105
Hannah Miller,Statistics,59.23,16
Diana Jones,Biology,51.39,71
Bob Brown,Statistics,80.42,95
Fiona Davis,Biology,10.71,107
Ethan Smith,Chemistry,67.22,33
Julia Miller,Math,81.01,61
George Davis,Statistics,6.35,105
Julia Johnson,Chemistry,33.84,111
Hannah Williams,Statistics,75.46,71
Alice Davis,Biology,76.03,39
Charlie Brown,Math,69.56,93
Julia Martinez,Math,41.05,94
Hannah Smith,Chemistry,42.2,19
Fiona Miller,IT,66.1,33
Julia Martinez,Chemistry,72.67,32
Ethan Garcia,IT,0.9,105
Fiona Williams,Chemistry,95.72,36
Diana Williams,IT,60.71,63
Charlie Brown,Chemistry,97.82,30
Charlie Jones,History,11.75,45
Ian Davis,Statistics,51.96,32
Alice Brown,Math,96.99,113
Alice Brown,Math,40.94,61
George Garcia,Chemistry,22.15,111
Julia Miller,Statistics,34.65,33
Charlie Williams,History,27.72,68
Bob Davis,IT,35.27,68
Ian Martinez,History,45.96,18
Bob Davis,Statistics,60.46,29
Charlie Davis,Math,73.62,98
Ian Davis,Statistics,66.34,59
Alice Brown,History,18.21,89
Diana Wilson,Biology,59.6,16
Charlie Johnson,IT,2.17,110
Julia Brown,History,95.39,42
Ethan Brown,IT,40.59,100
Diana Miller,Math,17.54,62
Charlie Williams,Biology,76.83,19
George Johnson,Biology,0.16,56
Hannah Smith,Statistics,34.37,96
Alice Martinez,Statistics,9.09,85
Fiona Miller,Statistics,9.5,44
Diana Martinez,Biology,65.73,21
Fiona Davis,Biology,88.06,42
Ethan Garcia,Math,24.64,84
Julia Johnson,Math,40.72,30
Charlie Davis,Math,24.38,12
Bob Garcia,Chemistry,95.38,52
George Smith,Biology,3.37,90
Bob Miller,Math,21.66,44
Julia Davis,IT,26.72,71
Alice Martinez,IT,52.91,29
Alice Davis,Math,43.0,65
Alice Johnson,Biology,8.33,19
Diana Martinez,Biology,24.29,90
Charlie Williams,History,0.35,52
Hannah Garcia,Chemistry,73.03,40
George Miller,Chemistry,12.43,23
Bob Miller,Biology,90.82,14
George Wilson,IT,0.98,54
Ethan Smith,Math,0.1,47
Charlie Miller,Statistics,99.39,83
Ian Garcia,Math,57.79,102
George Williams,History,44.11,91
George Davis,IT,78.55,46
Fiona Smith,IT,21.8,108
Ethan Johnson,Chemistry,31.06,61
Julia Garcia,History,64.89,60
Hannah Brown,Chemistry,6.61,63
Julia Garcia,Chemistry,86.7,108
Hannah Wilson,IT,15.4,13
Ethan Williams,IT,5.38,10
Alice Johnson,IT,0.73,64
Ian Martinez,Biology,92.31,90
Bob Williams,Math,26.3,28
Ethan Williams,Math,56.28,70
Ethan Davis,Biology,98.01,86
Hannah Garcia,IT,53.81,73
Charlie Smith,History,11.42,110
Fiona Brown,IT,95.59,11
Alice Martinez,IT,26.44,89
George Williams,Math,56.15,72
Diana Brown,IT,12.36,115
Alice Martinez,Math,91.59,48
Fiona Smith,History,44.94,64
George Davis,IT,51.23,75
Alice Wilson,Chemistry,40.19,44
Alice Garcia,Statistics,40.07,110
Ethan Davis,Math,99.77,29
George Jones,Biology,22.72,67
Ethan Wilson,Statistics,49.78,85
Alice Wilson,Statistics,28.05,35
Ian Wilson,IT,33.21,85
Diana Wilson,Chemistry,56.63,35
Hannah Williams,Biology,17.86,109
Fiona Wilson,IT,82.25,110
Julia Williams,Statistics,30.12,54
Charlie Wilson,Math,68.72,26
Ethan Wilson,Math,26.68,93
Charlie Davis,Chemistry,33.47,40
Bob Miller,History,72.73,59
Charlie Williams,History,88.14,70
Alice Smith,Biology,38.64,11
Hannah Wilson,Biology,30.44,47
Ethan Garcia,Statistics,36.33,57
Diana Garcia,Statistics,42.07,117
Alice Smith,Math,65.13,17
Bob Brown,Math,77.21,78
Julia Wilson,IT,31.85,119
Ian Miller,Statistics,75.11,31
Bob Davis,Chemistry,31.14,37
Ethan Martinez,Math,58.12,98
Charlie Brown,Statistics,67.28,47
Julia Brown,History,72.14,67
Charlie Miller,Statistics,36.01,112
Ethan Williams,Statistics,97.02,28
Fiona Johnson,IT,48.12,115
George Jones,Math,9.72,109
Diana Garcia,Chemistry,51.13,95
Alice Brown,Statistics,49.85,94
Fiona Garcia,History,87.5,119
George Garcia,IT,18.16,47
Hannah Williams,Statistics,26.41,79
Fiona Williams,IT,23.84,96
Julia Jones,IT,27.71,119
Ethan Davis,IT,74.85,108
Bob Johnson,History,2.69,42
George Smith,Chemistry,69.09,89
Julia Miller,Statistics,65.75,11
Diana Wilson,Math,18.58,111
Ian Garcia,Chemistry,90.31,48
Ian Davis,History,6.24,108
George Williams,Statistics,94.94,98
George Smith,Math,71.9,94
Hannah Miller,Statistics,8.56,89
Diana Garcia,IT,20.87,89
George Jones,Math,77.49,92
Ethan Williams,IT,3.09,58
Charlie Smith,Math,23.5,74
Diana Miller,IT,34.46,21
Charlie Miller,History,40.01,106
Ian Smith,Statistics,25.69,40
Ethan Wilson,Chemistry,46.32,111
Charlie Davis,Biology,62.02,34
Fiona Williams,History,35.48,13
Ian Williams,Statistics,51.02,56
Charlie Garcia,Math,63.32,99
Hannah Jones,History,84.7,12
Ethan Williams,Chemistry,1.54,71
Bob Martinez,History,16.67,108
Julia Garcia,Chemistry,74.99,94
Charlie Williams,Math,65.33,73
Ian Brown,IT,47.36,90
Julia Martinez,Statistics,56.85,39
Diana Davis,Math,45.58,102
Ian Martinez,Chemistry,91.44,47
George Brown,History,25.72,16
Hannah Brown,Chemistry,10.32,18
Charlie Martinez,Biology,49.86,100
Ian Garcia,Chemistry,16.43,106
Diana Jones,History,21.99,48
Julia Garcia,Biology,11.77,87
Hannah Wilson,Chemistry,57.4,45
Charlie Martinez,IT,32.3,49
Ethan Martinez,Chemistry,86.93,91
Hannah Davis,Statistics,38.0,53
Hannah Martinez,Chemistry,91.92,89
Ethan Smith,Statistics,86.16,39
Fiona Wilson,History,37.62,17
Ethan Johnson,IT,6.6,118
Alice Williams,IT,17.12,88
Charlie Jones,Chemistry,25.84,83
Ian Brown,Biology,26.85,55
Ethan Smith,Biology,17.38,46
George Wilson,Math,96.96,110
George Martinez,Math,75.08,67
Charlie Davis,Chemistry,37.38,18
Fiona Martinez,Statistics,99.16,86
Ethan Brown,Statistics,24.31,13
Julia Wilson,Math,96.94,115
Fiona Johnson,Statistics,32.77,49
George Miller,Math,8.53,53
Fiona Wilson,Math,10.72,67
Bob Williams,Biology,21.64,22
Bob Garcia,Chemistry,12.73,108
Hannah Jones,Chemistry,33.7,77
Diana Brown,Chemistry,49.25,38
Bob Garcia,Biology,61.12,99
Bob Martinez,IT,57.8,19
Julia Garcia,Statistics,21.77,25
Julia Johnson,IT,80.91,74
Alice Wilson,Chemistry,20.35,101
Fiona Garcia,Math,89.33,60
